PMID,Model,Type,Gold_Standard,Predicted,TP,FN,FP
10934569,LLM,participants,"children with pervasive developmental disorder . Young children with pervasive developmental disorder | ( 7 with autism , 8 with pervasive developmental disorder not otherwise specified -- NOS ) | ( 7 with autism , 6 with pervasive developmental disorder NOS ) | Children with pervasive developmental disorder NOS | autism .",children with pervasive developmental disorder | children with autism | children with pervasive developmental disorder not otherwise specified -- NOS,3,2,0
10934569,NER,participants,"children with pervasive developmental disorder . Young children with pervasive developmental disorder | ( 7 with autism , 8 with pervasive developmental disorder not otherwise specified -- NOS ) | ( 7 with autism , 6 with pervasive developmental disorder NOS ) | Children with pervasive developmental disorder NOS | autism .",children with pervasive developmental disorder . young children with pervasive developmental disorder | group ( 7 with autism 8 with pervasive developmental disorder not otherwise specified -- nos | 7 with autism 6 with pervasive developmental disorder nos | children with pervasive developmental disorder nos,4,1,0
10934569,LLM,interventions,intensive early intervention | intensive treatment | parent training . | intensive treatment | parent training | parent training . | intensive treatment | parent training,intensive treatment | parent training | 24.52 hours per week of individual treatment for one year | 3 to 9 months of parent training,3,1,1
10934569,NER,interventions,intensive early intervention | intensive treatment | parent training . | intensive treatment | parent training | parent training . | intensive treatment | parent training,intensive early intervention | intensive treatment or parent training | intensive treatment | parent training | parent training | intensive | parent training,4,0,1
10934569,LLM,outcomes,"intelligence , visual-spatial skills , language , and academics | adaptive functioning | behavior problems .",measures of intelligence | visual-spatial skills | language | academics | adaptive functioning | behavior problems,3,0,3
10934569,NER,outcomes,"intelligence , visual-spatial skills , language , and academics | adaptive functioning | behavior problems .",intelligence visual-spatial skills language and academics though not adaptive functioning or behavior problems,1,2,0
11401641,LLM,participants,"patients insufficiently controlled on timolol . | in patients with open angle glaucoma or ocular hypertension where IOP is not adequately controlled with timolol . | 53 patients with primary open angle glaucoma , capsular glaucoma , or ocular hypertension with an IOP of at least 21 mmHg on current therapy",patients with primary open angle glaucoma | capsular glaucoma | ocular hypertension,2,1,1
11401641,NER,participants,"patients insufficiently controlled on timolol . | in patients with open angle glaucoma or ocular hypertension where IOP is not adequately controlled with timolol . | 53 patients with primary open angle glaucoma , capsular glaucoma , or ocular hypertension with an IOP of at least 21 mmHg on current therapy",patients insufficiently controlled on | patients with open angle glaucoma or ocular hypertension where iop is not adequately controlled with | 53 patients with primary open angle glaucoma capsular glaucoma or ocular hypertension with an iop of at least 21 mmhg on current therapy were,3,0,0
11401641,LLM,interventions,latanoprost | timolol | latanoprost | latanoprost | timolol | timolol | timolol | timolol | latanoprost | latanoprost | timolol . | timolol | latanoprost | latanoprost | timolol | timolol | latanoprost | latanoprost | timolol | timolol | latanoprost,latanoprost | timolol | 5 mg/ml twice daily | 50 microg/ml once daily,2,1,2
11401641,NER,interventions,latanoprost | timolol | latanoprost | latanoprost | timolol | timolol | timolol | timolol | latanoprost | latanoprost | timolol . | timolol | latanoprost | latanoprost | timolol | timolol | latanoprost | latanoprost | timolol | timolol | latanoprost,latanoprost | timolol | timolol to latanoprost | adding latanoprost to timolol | timolol | timolol | timolol | from timolol to latanoprost 50 | latanoprost in addition to timolol | timolol | latanoprost | latanoprost to timolol | from timolol to latanoprost | latanoprost | timolol | timolol to latanoprost,3,0,5
11401641,LLM,outcomes,IOP-reducing | intraocular pressure ( IOP ) | efficacy | IOP | IOP | IOP | IOP | IOP | IOP,intraocular pressure ( IOP ) | IOP reduction,2,2,0
11401641,NER,outcomes,IOP-reducing | intraocular pressure ( IOP ) | efficacy | IOP | IOP | IOP | IOP | IOP | IOP,iop | intraocular pressure ( iop | iop | iop | iop | iop | iop reduction,2,2,1
19096921,LLM,participants,children with pervasive developmental disorders .,children with pervasive developmental disorders,1,0,0
